Date,portfolio_value,daily_return,reward,cash,shares,price
2024-01-03,100000.0,0.0,0.0,100000.0,0.0,468.7900085449219
2024-01-04,100000.0,0.0,0.0,100000.0,0.0,467.2799987792969
2024-01-05,100000.0,0.0,0.0,100000.0,0.0,467.9200134277344
2024-01-08,100000.0,0.0,0.0,100000.0,0.0,474.6000061035156
2024-01-09,100000.0,0.0,0.0,100000.0,0.0,473.8800048828125
2024-01-10,100000.0,0.0,0.0,100000.0,0.0,476.55999755859375
2024-01-11,100000.0,0.0,0.0,100000.0,0.0,476.3500061035156
2024-01-12,100000.0,0.0,0.0,100000.0,0.0,476.67999267578125
2024-01-16,100000.0,0.0,0.0,100000.0,0.0,474.92999267578125
2024-01-17,100000.0,0.0,0.0,100000.0,0.0,472.2900085449219
2024-01-18,100000.0,0.0,0.0,100000.0,0.0,476.489990234375
2024-01-19,100000.0,0.0,0.0,100000.0,0.0,482.42999267578125
2024-01-22,100000.0,0.0,0.0,100000.0,0.0,483.45001220703125
2024-01-23,100000.0,0.0,0.0,100000.0,0.0,484.8599853515625
2024-01-24,100000.0,0.0,0.0,100000.0,0.0,485.3900146484375
2024-01-25,100000.0,0.0,0.0,100000.0,0.0,488.0299987792969
2024-01-26,100000.0,0.0,0.0,100000.0,0.0,487.4100036621094
2024-01-29,100000.0,0.0,0.0,100000.0,0.0,491.2699890136719
2024-01-30,100000.0,0.0,0.0,100000.0,0.0,490.8900146484375
2024-01-31,100000.0,0.0,0.0,100000.0,0.0,482.8800048828125
2024-02-01,100000.0,0.0,0.0,100000.0,0.0,489.20001220703125
2024-02-02,100000.0,0.0,0.0,100000.0,0.0,494.3500061035156
2024-02-05,100000.0,0.0,0.0,100000.0,0.0,492.54998779296875
2024-02-06,100000.0,0.0,0.0,100000.0,0.0,493.9800109863281
2024-02-07,100000.0,0.0,0.0,100000.0,0.0,498.1000061035156
2024-02-08,100000.0,0.0,0.0,100000.0,0.0,498.32000732421875
2024-02-09,100000.0,0.0,0.0,100000.0,0.0,501.20001220703125
