Date,ppo_agent,buy_and_hold,moving_average,random
2024-01-02,100000.0,99084.14780154309,99084.14780154309,100000.0
2024-01-03,100000.0,98764.98990979671,98764.98990979671,100000.0
2024-01-04,100000.0,98900.26435008987,98900.26435008987,100036.82901803187
2024-01-05,100000.0,100312.15745688783,100312.15745688783,101464.94764081448
2024-01-08,100000.0,100159.97693667821,100159.97693667821,101311.01825771196
2024-01-09,100000.0,100726.42414236501,100726.42414236501,101209.70723945425
2024-01-10,100000.0,100682.04003862396,100682.04003862396,101209.70723945425
2024-01-11,100000.0,100751.78648735989,100751.78648735989,101209.70723945425
2024-01-12,100000.0,100381.90390562375,100381.90390562375,101209.70723945425
2024-01-16,100000.0,99823.91296501536,99823.91296501536,101209.70723945425
2024-01-17,100000.0,100711.62729103788,100711.62729103788,102007.63541487239
2024-01-18,100000.0,101967.11497020719,101967.11497020719,101905.62777945751
2024-01-19,100000.0,102182.70780314435,102182.70780314435,101905.62777945751
2024-01-22,100000.0,102480.72180707454,102480.72180707454,101905.62777945751
2024-01-23,100000.0,102592.74958120249,102592.74958120249,101905.62777945751
2024-01-24,100000.0,103150.74052181089,103150.74052181089,101905.62777945751
2024-01-25,100000.0,103019.69743917711,103019.69743917711,101674.3903261685
2024-01-26,100000.0,103835.54963763403,103835.54963763403,102479.58852550651
2024-01-29,100000.0,103755.23769523035,103755.23769523035,102377.108936981
2024-01-30,100000.0,102062.23021417833,102062.23021417833,100605.88223592915
2024-01-31,100000.0,103398.03628599165,103398.03628599165,101922.62740276386
2024-02-01,100000.0,104486.54659362421,104486.54659362421,102995.60552201979
2024-02-02,100000.0,104106.09206797999,104106.09206797999,102620.57978406789
2024-02-05,100000.0,104408.34387980988,104408.34387980988,102517.95920428382
2024-02-06,100000.0,105279.15212591593,105279.15212591593,102517.95920428382
2024-02-07,100000.0,105325.65190848666,105325.65190848666,102460.67618147118
2024-02-08,100000.0,105934.37398932515,105934.37398932515,103052.84033976658
2024-02-09,100000.0,105887.87420675442,105887.87420675442,102949.78749942682
2024-02-12,100000.0,104429.47486714539,104429.47486714539,101430.32273017337
2024-02-13,100000.0,105378.4922773061,105378.4922773061,102352.08492721224
2024-02-14,100000.0,106105.57626828093,106105.57626828093,103058.28750029174
2024-02-15,100000.0,105577.17258008645,105577.17258008645,102545.05925037892
2024-02-16,100000.0,104995.92852307252,104995.92852307252,101980.50817547482
2024-02-20,100000.0,105091.03731680333,105091.03731680333,102072.88550146316
2024-02-21,100000.0,107265.9487034791,107265.9487034791,101970.8126159617
2024-02-22,100000.0,107339.92650987439,107339.92650987439,101970.8126159617
2024-02-23,100000.0,106946.79081173273,106946.79081173273,101970.8126159617
2024-02-26,100000.0,107145.47111451307,107145.47111451307,101970.8126159617
2024-02-27,100000.0,107003.86253821154,107003.86253821154,101970.8126159617
2024-02-28,100000.0,107388.53552103447,107388.53552103447,102235.05466990665
2024-02-29,100000.0,108396.72743602302,108396.72743602302,103194.8643464845
2024-03-01,100000.0,108280.48120471636,108280.48120471636,103091.66948213801
2024-03-04,100000.0,107198.31148333252,107198.31148333252,103091.66948213801
2024-03-05,100000.0,107741.51202285413,107741.51202285413,103510.4465833323
2024-03-06,100000.0,108811.00057174053,108811.00057174053,104537.93575841933
2024-03-07,100000.0,108157.894387161,108157.894387161,104433.39782266092
2024-03-08,100000.0,108064.89482201953,108064.89482201953,104239.2571651126
2024-03-11,100000.0,109227.38938628773,109227.38938628773,104135.01790794749
2024-03-12,100000.0,109056.17420685127,109056.17420685127,104135.01790794749
2024-03-13,100000.0,108840.59427439478,108840.59427439478,104135.01790794749
2024-03-14,100000.0,107758.4181027706,107758.4181027706,104135.01790794749
2024-03-15,100000.0,108398.8431148527,108398.8431148527,104135.01790794749
2024-03-18,100000.0,109001.2310596828,109001.2310596828,104608.99745235636
2024-03-19,100000.0,110009.41652443101,110009.41652443101,105576.55781555631
2024-03-20,100000.0,110372.96497015876,110372.96497015876,105925.45697993474
2024-03-21,100000.0,110163.71917371066,110163.71917371066,105724.64279852818
2024-03-22,100000.0,109859.35813329142,109859.35813329142,105432.54606721346
2024-03-25,100000.0,109656.44647285169,109656.44647285169,105237.81078611953
2024-03-26,100000.0,110577.9794089475,110577.9794089475,105132.57297533342
2024-03-27,100000.0,110556.84842161198,110556.84842161198,105132.57297533342
2024-03-28,100000.0,110364.50225484003,110364.50225484003,105132.57297533342
2024-04-01,100000.0,109662.79350934074,109662.79350934074,105132.57297533342
2024-04-02,100000.0,109783.2581978261,109783.2581978261,105142.81315081361
2024-04-03,100000.0,108443.23366883407,108443.23366883407,105037.6703376628
2024-04-04,100000.0,109576.12808020768,109576.12808020768,106028.85222015184
2024-04-05,100000.0,109637.4182638652,109637.4182638652,106088.15827466776
2024-04-08,100000.0,109764.24288932027,109764.24288932027,105982.0701163931
2024-04-09,100000.0,108665.16063777963,108665.16063777963,104815.93834569019
2024-04-10,100000.0,109485.24419389591,109485.24419389591,105606.9722608079
2024-04-11,100000.0,107974.01093570776,107974.01093570776,104149.27108881761
2024-04-12,100000.0,106621.29878397797,106621.29878397797,104045.1218177288
2024-04-15,99717.80287599053,106426.84338861666,106426.84338861666,104045.1218177288
2024-04-16,99127.64906425467,105796.98387020231,105796.98387020231,103325.92853942486
