timestep,episode_reward,episode_length
1905,-0.615687,1905
3810,-0.912864,1905
5715,-0.801156,1905
7620,-0.714312,1905
9525,-0.604549,1905
11430,-0.185475,1905
13335,-0.551296,1905
15240,-0.604354,1905
17145,-0.543078,1905
19050,-0.461462,1905
20955,-0.211192,1905
22860,-0.358916,1905
24765,0.064613,1905
26670,-0.191866,1905
28575,-0.209088,1905
30480,-0.147305,1905
32385,-0.191845,1905
34290,-0.108755,1905
36195,0.229548,1905
38100,-0.207816,1905
40005,-0.238464,1905
41910,-0.15433,1905
43815,0.145037,1905
45720,0.087811,1905
47625,0.168784,1905
49530,-0.164164,1905
51435,-0.030987,1905
53340,-0.059246,1905
55245,0.290551,1905
57150,0.285561,1905
59055,-0.062063,1905
60960,-0.007216,1905
62865,0.124093,1905
64770,-0.061583,1905
66675,-0.127969,1905
68580,0.095357,1905
70485,-0.022435,1905
72390,-0.145952,1905
74295,-0.024452,1905
76200,-0.248262,1905
78105,-0.037705,1905
80010,-0.172214,1905
81915,0.026776,1905
83820,0.059621,1905
85725,0.067185,1905
87630,0.13062,1905
89535,0.028974,1905
91440,0.112217,1905
93345,0.218064,1905
95250,0.129115,1905
97155,0.133922,1905
99060,0.253765,1905
